run,norm_condition,span_condition,caption_count,label,match,refclash,missing,refonly,reftotal,hypclash,spurious,hyponly,hyptotal,precision,recall,fmeasure,norm_match,norm_missing,norm_spurious,norm_precision_micro,norm_recall_micro,norm_fmeasure_micro,norm_precision_macro,norm_recall_macro,norm_fmeasure_macro
system1,any,strict,13658,cell_type_or_line,0,0,10609,10609,10609,0,0,0,0,1.0,0.0,0.0,0,7919,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,13658,cellular_component,0,0,7487,7487,7487,0,0,0,0,1.0,0.0,0.0,0,4936,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,13658,gene_or_protein,0,0,58682,58682,58682,0,0,0,0,1.0,0.0,0.0,0,24671,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,13658,organism_or_species,0,0,7923,7923,7923,0,0,0,0,1.0,0.0,0.0,0,4612,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,13658,small_molecule,0,0,11251,11251,11251,0,0,0,0,1.0,0.0,0.0,0,7279,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,13658,tissue_or_organ,0,0,6320,6320,6320,0,0,0,0,1.0,0.0,0.0,0,4042,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,13658,cell_type_or_line,0,0,10609,10609,10609,0,0,0,0,1.0,0.0,0.0,0,7919,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,13658,cellular_component,0,0,7487,7487,7487,0,0,0,0,1.0,0.0,0.0,0,4936,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,13658,gene_or_protein,0,0,58682,58682,58682,0,0,0,0,1.0,0.0,0.0,0,24671,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,13658,organism_or_species,0,0,7923,7923,7923,0,0,0,0,1.0,0.0,0.0,0,4612,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,13658,small_molecule,0,0,11251,11251,11251,0,0,0,0,1.0,0.0,0.0,0,7279,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,overlap,13658,tissue_or_organ,0,0,6320,6320,6320,0,0,0,0,1.0,0.0,0.0,0,4042,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,strict,13658,cell_type_or_line,0,0,10301,10301,10301,0,0,0,0,1.0,0.0,0.0,0,7919,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,strict,13658,cellular_component,0,0,7259,7259,7259,0,0,0,0,1.0,0.0,0.0,0,4936,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,strict,13658,gene_or_protein,0,0,44474,44474,44474,0,0,0,0,1.0,0.0,0.0,0,24671,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,strict,13658,organism_or_species,0,0,7898,7898,7898,0,0,0,0,1.0,0.0,0.0,0,4612,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,strict,13658,small_molecule,0,0,10490,10490,10490,0,0,0,0,1.0,0.0,0.0,0,7279,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,strict,13658,tissue_or_organ,0,0,5772,5772,5772,0,0,0,0,1.0,0.0,0.0,0,4042,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,overlap,13658,cell_type_or_line,0,0,10301,10301,10301,0,0,0,0,1.0,0.0,0.0,0,7919,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,overlap,13658,cellular_component,0,0,7259,7259,7259,0,0,0,0,1.0,0.0,0.0,0,4936,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,overlap,13658,gene_or_protein,0,0,44474,44474,44474,0,0,0,0,1.0,0.0,0.0,0,24671,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,overlap,13658,organism_or_species,0,0,7898,7898,7898,0,0,0,0,1.0,0.0,0.0,0,4612,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,overlap,13658,small_molecule,0,0,10490,10490,10490,0,0,0,0,1.0,0.0,0.0,0,7279,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,normalized,overlap,13658,tissue_or_organ,0,0,5772,5772,5772,0,0,0,0,1.0,0.0,0.0,0,4042,0,1.0,0.0,0.0,1.0,0.0,0.0
